"item","freq","year_q1","year_med","year_q3"
"NUTRACEUTICALS",1,2020,2020,2020
"NUTRIENT CYCLING",1,2013,2013,2013
"NUTRIENT MANAGEMENT",1,2016,2016,2016
"NUTRIENT RECOVERY",1,2023,2023,2023
"NUTRIENT SEQUESTRATION",1,2022,2022,2022
"OF-THE-ART",1,2020,2020,2020
"OIL-RICH MICROALGAE",1,2010,2010,2010
"OIL AND NATURAL GAS",1,2016,2016,2016
"OIL CONTENTS",1,2011,2011,2011
"OIL CROPS",1,2011,2011,2011
"OIL INDUSTRY",1,2016,2016,2016
"OIL PRODUCTIVITIES",1,2012,2012,2012
"OIL RESERVES",1,2022,2022,2022
"OIL SANDS",1,2015,2015,2015
"OLEAGINOUS MICROORGANISMS",1,2022,2022,2022
"ONE STEP",1,2011,2011,2011
"OPERATIONAL COSTS",1,2010,2010,2010
"OPTIMAL COMBINATION",1,2010,2010,2010
"OPTIMIZATION FRAMEWORK",1,2015,2015,2015
"OPTIMIZATION MODELING",1,2015,2015,2015
"OPTIMIZED PARAMETER",1,2023,2023,2023
"ORGANIC-CARBON",1,2023,2023,2023
"ORGANIC CARBON",1,2022,2022,2022
"ORGANIC COMPOUND",1,2019,2019,2019
"ORGANIC COMPOUNDS",1,2009,2009,2009
"ORGANIC MATTER",1,2009,2009,2009
"ORGANIC RESIDUES",1,2021,2021,2021
"ORGANIC SOLVENTS",1,2024,2024,2024
"OUTCOME ASSESSMENT",1,2025,2025,2025
"OVER ACCUMULATIONS",1,2021,2021,2021
"OXIDATIVE PHOSPHORYLATION",1,2022,2022,2022
"P PHOSPHORUS",1,2022,2022,2022
"PAKISTAN",1,2018,2018,2018
"PARADIGM SHIFTS",1,2022,2022,2022
"PARAFFINS",1,2011,2011,2011
"PARAMETERIZATION",1,2018,2018,2018
"PEAK OIL",1,2009,2009,2009
"PERFORMANCE ASSESSMENT",1,2018,2018,2018
"PERFORMANCE OF SYSTEMS",1,2013,2013,2013
"PETROLEUM",1,2024,2024,2024
"PETROLEUM COSTS",1,2009,2009,2009
"PETROLEUM INDUSTRY",1,2020,2020,2020
"PETROLEUM PROSPECTING",1,2020,2020,2020
"PETROLEUM RESEARCH",1,2009,2009,2009
"PHARMACEUTICS",1,2024,2024,2024
"PHOSPHATE DEPOSITS",1,2025,2025,2025
"PHOSPHATE ORE TREATMENT",1,2022,2022,2022
"PHOTO-BIOREACTORS",1,2022,2022,2022
"PHOTOAUTOTROPH",1,2022,2022,2022
"PHOTOREACTIVITY",1,2022,2022,2022
"PHOTOSYNTHETIC MICROORGANISMS",1,2025,2025,2025
"PHOTOSYNTHETIC PRODUCTION",1,2024,2024,2024
"PHYSIOLOGICAL CHARACTERISTICS",1,2010,2010,2010
"PHYSIOLOGY",1,2011,2011,2011
"PLANNING",1,2021,2021,2021
"PLANT",1,2022,2022,2022
"PLANT GROWTH",1,2011,2011,2011
"PLANT METABOLISM",1,2011,2011,2011
"PLANT OILS",1,2024,2024,2024
"PLANT WATER USE",1,2018,2018,2018
"PLANTS",1,2022,2022,2022
"PLATINUM ORE TREATMENT",1,2022,2022,2022
"POLICY BARRIERS",1,2018,2018,2018
"POLICY INTERVENTION",1,2023,2023,2023
"POLLUTANTS REMOVAL",1,2016,2016,2016
"POLLUTED WATER",1,2024,2024,2024
"POLLUTION POLICY",1,2013,2013,2013
"POLYPHENOL",1,2024,2024,2024
"POLYPHENOLS",1,2024,2024,2024
"POME PALM OIL MILL EFFLUENT",1,2022,2022,2022
"PONDS",1,2024,2024,2024
"POPULATION DENSITY",1,2018,2018,2018
"POPULATION DYNAMICS",1,2021,2021,2021
"POPULATION STATISTICS",1,2024,2024,2024
"POST TREATMENT",1,2025,2025,2025
"POTASH DEPOSITS",1,2025,2025,2025
"POTASSIUM HYDROXIDE",1,2025,2025,2025
"POTENTIAL CHALLENGE",1,2023,2023,2023
"POWER- GENERATIONS",1,2016,2016,2016
"PRACTICAL PROBLEMS",1,2012,2012,2012
"PRE-TREATMENTS",1,2024,2024,2024
"PREDICTION",1,2024,2024,2024
"PREFERENCE RANKING",1,2025,2025,2025
"PREFERENCE RANKING ORGANIZATION METHOD FOR ENRICHMENT EVALUATION II",1,2025,2025,2025
"PRELIMINARY HAZARD ANALYSIS",1,2016,2016,2016
"PRETREATMENT",1,2009,2009,2009
"PRIMARY ENERGY SOURCE",1,2016,2016,2016
"PRIMARY METABOLITE",1,2022,2022,2022
"PROCESS-BASED",1,2021,2021,2021
"PROCESS CONTROL",1,2023,2023,2023
"PROCESS DEVELOPMENT",1,2023,2023,2023
"PROCESS ENGINEERING",1,2012,2012,2012
"PROCESS INTENSIFICATION STRATEGY",1,2020,2020,2020
"PROCESS MODIFICATIONS",1,2019,2019,2019
"PROCESSES INTEGRATIONS",1,2018,2018,2018
"PROCESSING PROCEDURES",1,2016,2016,2016
"PROCESSING TECHNIQUE",1,2021,2021,2021
"PRODUCED WATER PRODUCED WATER",1,2022,2022,2022
"PRODUCTION ENGINEERING",1,2013,2013,2013
"PRODUCTION LOCATIONS",1,2013,2013,2013
"PROFITABILITY",1,2018,2018,2018
"PROSPECTIVE STUDIES",1,2020,2020,2020
"PROSPECTIVE STUDY",1,2020,2020,2020
"PROSPECTIVES",1,2023,2023,2023
"PROTEIN HYDROLYSIS",1,2023,2023,2023
"PS EFFLUENT FROM A PRIMARY SEDIMENTATION TANK",1,2022,2022,2022
"PUBLIC POLICY",1,2018,2018,2018
"PUBLISHING",1,2024,2024,2024
"PURIFICATION",1,2023,2023,2023
"PYROLYSIS",1,2019,2019,2019
"QUANTITATIVE ANALYSIS",1,2025,2025,2025
"QUANTITATIVE MICROBIAL RISK ASSESSMENT",1,2024,2024,2024
"RAPID GROWTH",1,2025,2025,2025
"RATIO ANALYSIS",1,2025,2025,2025
"RATIONAL DESIGN",1,2011,2011,2011
"REACTION KINETICS",1,2013,2013,2013
"REACTOR CONFIGURATION",1,2010,2010,2010
"REACTOR DESIGN",1,2015,2015,2015
"REALIZATION PROCESS",1,2023,2023,2023
"RECENT PROGRESS",1,2011,2011,2011
"RECHARGE",1,2012,2012,2012
"RECOVERY",1,2024,2024,2024
"REDUCTION (CHEMISTRY)",1,2022,2022,2022
"REINFORCED PLASTICS",1,2022,2022,2022
"RENEWABLE AND ALTERNATIVE ENERGIES",1,2015,2015,2015
"RENEWABLE FEEDSTOCKS",1,2019,2019,2019
"RENEWABLE SUBSTITUTES",1,2023,2023,2023
"RESEARCH AND DEVELOPMENT MANAGEMENT",1,2021,2021,2021
"RESEARCH GAPS",1,2023,2023,2023
"RESEARCH OPPORTUNITIES",1,2015,2015,2015
"RESEARCH REPORTS",1,2012,2012,2012
"RESEARCH WORK",1,2015,2015,2015
"RESIDUE ANALYSIS",1,2019,2019,2019
"RESOURCE CONSERVATION",1,2010,2010,2010
"RESOURCE DEVELOPMENT",1,2022,2022,2022
"RISK FACTOR",1,2012,2012,2012
"RISK PERCEPTION",1,2016,2016,2016
"RISK REDUCTION",1,2023,2023,2023
"RISKS ASSESSMENTS",1,2024,2024,2024
"RIVER POLLUTION",1,2025,2025,2025
"S SULPHATE",1,2022,2022,2022
"SACCHARIFICATION",1,2024,2024,2024
"SALES",1,2025,2025,2025
"SALMONELLA",1,2025,2025,2025
"SANITATION",1,2024,2024,2024
"SARS",1,2025,2025,2025
"SCALE EFFECT",1,2016,2016,2016
"SCENEDESMUS-OBLIQUUS",1,2019,2019,2019
"SCIENTIFIC BREAKTHROUGH",1,2011,2011,2011
"SCIENTIFIC RESEARCHES",1,2020,2020,2020
"SCREENING",1,2025,2025,2025
"SEA LEVEL",1,2022,2022,2022
"SEAWATER",1,2013,2013,2013
"SECONDARY PRODUCT",1,2020,2020,2020
"SEDIMENTATION",1,2010,2010,2010
"SELECTABLE MARKER GENES",1,2011,2011,2011
"SELECTION STRATEGY",1,2024,2024,2024
"SELF-PURIFICATION",1,2012,2012,2012
"SEMI-CONTINUOUS",1,2015,2015,2015
"SEPTIC SEWAGE",1,2022,2022,2022
"SEQUENTIAL EXTRACTION",1,2021,2021,2021
"SET OFFS",1,2023,2023,2023
"SEWAGE-TREATMENT PLANTS",1,2024,2024,2024
"SEWAGE TREATMENT PLANT",1,2024,2024,2024
"SHALE OIL",1,2015,2015,2015
"SI SILICUM",1,2022,2022,2022
"SILICA",1,2022,2022,2022
"SLURRY",1,2016,2016,2016
"SOCIAL AND ENVIRONMENTAL IMPACT",1,2016,2016,2016
"SOCIAL CONDITIONS",1,2021,2021,2021
"SOCIAL IMPACT ASSESSMENTS",1,2025,2025,2025
"SOCIAL INDICATORS",1,2025,2025,2025
"SOCIAL LIFE CYCLE ASSESSMENT",1,2025,2025,2025
"SOCIAL PERFORMANCE",1,2025,2025,2025
"SOCIAL STATUS",1,2021,2021,2021
"SOCIOECONOMICS",1,2024,2024,2024
"SODIUM COMPOUNDS",1,2009,2009,2009
"SOIL POLLUTION CONTROL",1,2025,2025,2025
"SOLID BASE CATALYST",1,2014,2014,2014
"SOLVENT",1,2024,2024,2024
"SPECIES",1,2011,2011,2011
"ST EFFLUENT FROM A SEPTIC SEWAGE TREATMENT SYSTEM",1,2022,2022,2022
"STABLE EXPRESSION",1,2011,2011,2011
"STAKEHOLDER",1,2011,2011,2011
"STAKEHOLDER ENGAGEMENT",1,2025,2025,2025
"STAKEHOLDER PERCEPTION",1,2011,2011,2011
"STANDARDIZATION",1,2011,2011,2011
"STATE ROLE",1,2012,2012,2012
"STATIONARY SOURCES",1,2017,2017,2017
"STEAM",1,2022,2022,2022
"STRAIN PARAMETERS",1,2023,2023,2023
"STRAIN SELECTION",1,2023,2023,2023
"SUBSTANTIAL REDUCTION",1,2019,2019,2019
"SUBSTRATE",1,2015,2015,2015
"SUBSTRATES",1,2016,2016,2016
"SUGARCANE",1,2018,2018,2018
"SULFATED POLYSACCHARIDES",1,2023,2023,2023
"SULFUR COMPOUNDS",1,2022,2022,2022
"SULPHATES",1,2022,2022,2022
"SUPERCRITICAL-FLUID EXTRACTION",1,2020,2020,2020
"SUPERSTRUCTURE MODELS",1,2015,2015,2015
"SUPERSTRUCTURE OPTIMIZATION",1,2015,2015,2015
"SUPPLY CHAIN DECISION",1,2021,2021,2021
"SUPPLY CHAIN MANAGEMENT",1,2021,2021,2021
"SUPPLY CHAINS",1,2018,2018,2018
"SURFACE ACTIVE AGENTS",1,2022,2022,2022
"SURVEYS",1,2015,2015,2015
"SUSPENDED SOLIDS",1,2016,2016,2016
"SUSTAINABILITY ASSESSMENT",1,2025,2025,2025
"SUSTAINABILITY CRITERIA",1,2021,2021,2021
"SUSTAINABILITY INDEX",1,2021,2021,2021
"SUSTAINABLE APPROACH",1,2023,2023,2023
"SUSTAINABLE AVIATION FUEL",1,2024,2024,2024
"SUSTAINABLE DEVELOPMENT GOALS",1,2024,2024,2024
"SUSTAINABLE ENERGY DEVELOPMENT",1,2019,2019,2019
"SUSTAINABLE FUELS",1,2021,2021,2021
"SUSTAINABLE SOLUTION",1,2020,2020,2020
"SUSTAINABLE TRANSPORT",1,2013,2013,2013
"SYNGAS PRODUCTION",1,2022,2022,2022
"SYNTHETIC DIAMONDS",1,2025,2025,2025
"SYNTHETIC FUELS",1,2024,2024,2024
"SYNTHETIC PIGMENTS",1,2022,2022,2022
"SYSTEM INTEGRATION",1,2010,2010,2010
"SYSTEMATIC EXPLORATION",1,2021,2021,2021
"SYSTEMATIC REVIEW",1,2024,2024,2024
"T TOLUENE",1,2022,2022,2022
"TA TOTAL ALKALINITY",1,2022,2022,2022
"TE EFFLUENT FROM A TREATMENT PLANT",1,2022,2022,2022
"TEA",1,2019,2019,2019
"TEA TECHNO-ECONOMIC ASSESSMENT",1,2022,2022,2022
"TECHNIQUE FOR ORDER OF PREFERENCE BY SIMILARITY TO IDEAL SOLUTION",1,2025,2025,2025
"TECHNO-ECONOMICS",1,2020,2020,2020
"TECHNOLOGICAL ADVANCES",1,2013,2013,2013
"TECHNOLOGICAL BARRIERS",1,2022,2022,2022
"TECHNOLOGICAL CHALLENGES",1,2020,2020,2020
"TECHNOLOGICAL READINESS LEVEL",1,2023,2023,2023
"TECHNOLOGICAL READINESS LEVELS",1,2023,2023,2023
"TECHNOLOGY DEVELOPMENT",1,2023,2023,2023
"TECHNOLOGY OPPORTUNITIES",1,2020,2020,2020
"TECHNOLOGY TRANSFER",1,2018,2018,2018
"TEMPERATURE SENSITIVITY",1,2010,2010,2010
"TEMPORARY-STORAGE",1,2023,2023,2023
"TETRADESMUS OBLIQUUS",1,2023,2023,2023
"THALASSIOSIRA PSEUDONANA",1,2010,2010,2010
"THE NET PRESENT VALUE (NPV)",1,2022,2022,2022
"THEMATIC ANALYSIS",1,2024,2024,2024
"THERMODYNAMICS",1,2013,2013,2013
"THIRD-GENERATION BIOFUEL",1,2023,2023,2023
"THIRD WORLD",1,2022,2022,2022
"THREE GENERATIONS",1,2011,2011,2011
"TIMING CIRCUITS",1,2022,2022,2022
"TN TOTAL NITROGEN",1,2022,2022,2022
"TOC TOTAL ORGANIC CARBON",1,2022,2022,2022
"TOLUENE",1,2022,2022,2022
"TOTAL ALKALINITIES",1,2022,2022,2022
"TOTAL NITROGEN",1,2022,2022,2022
"TOTAL ORGANIC CARBON",1,2022,2022,2022
"TOTAL PHOSPHORUS",1,2022,2022,2022
"TOTAL SUSPENDED SOLIDS",1,2022,2022,2022
"TOUCH",1,2021,2021,2021
"TP TOTAL PHOSPHORUS",1,2022,2022,2022
"TRAFFIC AND TRANSPORT",1,2024,2024,2024
"TRANS-GENES",1,2011,2011,2011
"TRANSESTERIFICATION PROCESS",1,2020,2020,2020
"TRANSFORMATION",1,2011,2011,2011
"TRANSPORT FUEL",1,2011,2011,2011
"TRANSPORTATION SECTOR",1,2015,2015,2015
"TREATMENT MONITORING",1,2021,2021,2021
"TREATMENT PLANTS",1,2022,2022,2022
"TREATMENT SYSTEMS",1,2022,2022,2022
"TREND ANALYSIS",1,2024,2024,2024
"TRIACYLGLCEROLS",1,2009,2009,2009
"TRIACYLGLYCEROL",1,2010,2010,2010
"TRIACYLGLYCEROL ACCUMULATION",1,2019,2019,2019
"TROPICAL CROPS",1,2010,2010,2010
"TSS TOTAL SUSPENDED SOLID",1,2022,2022,2022
"TUBULAR PHOTOBIOREACTORS",1,2016,2016,2016
"TURBINES",1,2025,2025,2025
"TWO-STAGE FERMENTATIONS",1,2020,2020,2020
"UNCERTAINTY ANALYSIS",1,2013,2013,2013
"UNITED NATIONS",1,2024,2024,2024
"UNITED STATES",1,2011,2011,2011
"UNSOLVED PROBLEMS",1,2019,2019,2019
"UPSTREAM PROCESS",1,2022,2022,2022
"UTILIZATION",1,2022,2022,2022
"UTILIZATION MODES",1,2022,2022,2022
"VALORISATION",1,2023,2023,2023
"VALUABLE PRODUCT",1,2023,2023,2023
"VALUE-ADDED PRODUCTION",1,2022,2022,2022
"VARANIDAE",1,2020,2020,2020
"VEGETABLE-OIL",1,2014,2014,2014
"VEGETABLE OIL",1,2024,2024,2024
"VEGETABLE OILS",1,2011,2011,2011
"VINASSES",1,2018,2018,2018
"VITAMIN",1,2023,2023,2023
"VLSE KRITERIJUMSKA OPTIMIZACIJA I KOMOROMISNO RESENJE",1,2025,2025,2025
"W EFFLUENT OF WINERY",1,2022,2022,2022
"WAGES",1,2025,2025,2025
"WASTE",1,2019,2019,2019
"WASTE-TO-RESOURCE",1,2025,2025,2025
"WASTE COMPONENT REMOVAL",1,2016,2016,2016
"WASTE DISPOSAL, FLUID",1,2010,2010,2010
"WASTE MINIMIZATION",1,2020,2020,2020
"WASTE NUTRIENT",1,2017,2017,2017
"WASTE STREAM",1,2015,2015,2015
"WASTE TECHNOLOGY",1,2023,2023,2023
"WASTE WATER RECYCLING",1,2022,2022,2022
"WASTE WATER SYSTEMS",1,2023,2023,2023
"WASTE WATER TREATMENT PLANT",1,2023,2023,2023
"WASTELAND",1,2013,2013,2013
"WASTEWATER DISINFECTION",1,2024,2024,2024
"WASTEWATER TREATMENT PROCESS",1,2013,2013,2013
"WATER ENVIRONMENTS",1,2022,2022,2022
"WATER FOOTPRINT",1,2023,2023,2023
"WATER POLLUTION CONTROL",1,2025,2025,2025
"WATER PURIFICATION",1,2010,2010,2010
"WATER QUALITY",1,2023,2023,2023
"WATER SECURITY",1,2022,2022,2022
"WATER SUPPLY",1,2013,2013,2013
"WOOD",1,2022,2022,2022
"X XYLENE",1,2022,2022,2022
"XANTHOPHYLL",1,2022,2022,2022
"XYLENE",1,2022,2022,2022
"YEAST",1,2022,2022,2022
"ZERO-CARBON",1,2024,2024,2024
"ZERO-WASTE BIOREFINERY",1,2023,2023,2023
"ZERO CARBON SOLUTION",1,2025,2025,2025
"ZERO CARBONS",1,2025,2025,2025
"ZERO EMISSION",1,2023,2023,2023
"ZERO WASTE BIOREFINERY",1,2023,2023,2023
"ZINC CHLORIDE",1,2025,2025,2025
"ZINC SELENIDE",1,2025,2025,2025
