publication_number,title,topic,topic_probability,country_code,publication_date
CN-119752763-A,Application of carbon nitride in microalgae culture,6,0.6320098,CN,20250404
CN-119899746-A,Multi-size aquatic organism bait culture method,6,0.49509,CN,20250429
CN-222499104-U,Algae cultivation equipment,3,0.5538608,CN,20250218
CN-223249094-U,Chemical-biological coupling fixing system for carbon dioxide in flue gas,2,0.5404861,CN,20250822
CN-220606888-U,Organic waste recycling unit of industrial circulating water culture system,2,0.598565,CN,20240319
CN-222302782-U,Vertical shaft type continuous-row multi-pipe type fish and young fish conservation reef,3,0.34796134,CN,20250107
CN-117178052-A,"Method and system for producing euglena with high wax ester content, and method and system for producing wax ester or biofuel composition, and wax ester fermentation accelerator",3,0.510293,CN,20231205
CN-120157243-A,Method for neutralizing brine after bromine by biochemical combination,2,0.5069239,CN,20250617
CN-120290543-A,Composite porous dephosphorization filter material and preparation method thereof,2,0.4211716,CN,20250711
CN-204607996-U,Be applicable to the photoproduction reaction device closed-type sterile chemicals dosing plant of Haematocoocus Pluvialls cultivation,4,0.41865623,CN,20150902
CN-119331787-B,Alkalophilic micro bacillus and application thereof in purifying water body of water bloom saline-alkali culture,2,0.54650676,CN,20250311
CN-119791030-A,Seed protection method for Wenchang fish,3,0.24313426,CN,20250411
CN-120040386-A,Method for purifying fucoxanthin by column chromatography,3,0.3592584,CN,20250527
CN-204737963-U,A ventilate temperature control system and algae culture system for algae culture,2,0.5455724,CN,20151104
CN-118166873-A,Biological skinning rain collecting surface for collecting and purifying rainfall runoff in arid region and application thereof,2,0.33018696,CN,20240611
CN-106147994-A,A kind of production method of biodiesel,5,0.71682656,CN,20161123
CN-107258529-A,One kind globigerina culture marine alga device,3,0.49146178,CN,20171020
CN-108239621-A,"A kind of placenta Subaerial blue green algae is detached, is expanded, freezing, the method for recovery stem cell",3,0.33653143,CN,20180703
CN-108384642-A,A kind of preparation method of kitchen greasy dirt cleaning agent,2,0.33448595,CN,20180810
CN-105581046-A,High-protein chicken feed containing mulberry leaves,6,0.2604398,CN,20160518
CN-107926794-A,A kind of high-efficiency breeding method of Macrobrachium rosenbergii,2,0.60592353,CN,20180420
CN-202340570-U,Microalgae cultivation device,6,0.5675709,CN,20120725
CN-102092889-B,Method for lake purification and water ecological environmental renovation,2,0.539041,CN,20130320
CN-206538407-U,A kind of microalgae intelligent regulates and controls two-sided individual layer photo-biological culture apparatus,1,0.3275637,CN,20171003
CN-113023899-A,Water quality improver for improving aquaculture water quality,2,0.4466504,CN,20210625
CN-113061914-A,Light-induced biosynthesis H based on microbial fuel cell2O2Method (2),2,0.6113971,CN,20210702
CN-110558287-A,Double-layer ant culture observation box,4,0.17365971,CN,20191213
CN-110609978-B,Microalgae flocculation recovery parameter optimization method based on response surface method,0,0.6779268,CN,20220708
CN-110849666-A,A sea grass collection system for shallow water region of nearshore,2,0.24790004,CN,20200228
CN-110723823-A,Device for jointly treating black and odorous water body by utilizing contact oxidation and microalgae,2,0.5738021,CN,20200124
CN-119286072-A,Oxygenation aeration pipe for cultivation and preparation method thereof,4,0.32826793,CN,20250110
CN-119684092-A,Inhibiting compound taking homogentisate solanesyl transferase as molecular target and application thereof,2,0.3054391,CN,20250325
CN-119791038-A,Hierarchical breeding device of hong Kong oyster,3,0.25108165,CN,20250411
CN-110591999-B,Nutrient propagation method for clone line of laminaria japonica aresch gametophyte,6,0.4817803,CN,20220301
CN-110229755-A,A method of promote bloom nitrogen stress to coerce lower microalgae grease using epiphysin and accumulates,6,0.71690345,CN,20190913
CN-120349853-A,Sunlight greenhouse microalgae fertilizer in-situ culture device and application system,1,0.500014,CN,20250722
CN-120678168-A,Grain-saving functional feed for improving DHA enriched egg flavor and application thereof,5,0.3492396,CN,20250923
CN-115927130-B,Chlorella JS50 capable of secreting and producing fructose at high yield and preparation method thereof,3,0.5505254,CN,20241008
CN-116064699-A,Application of oyster mushroom extracellular polysaccharide in preparation of medicine for removing algae toxin toxicity,3,0.33576262,CN,20230505
CN-108901849-A,A kind of method for tissue culture of bed mat made of woven strips of bamboo algae aseptic seedling,6,0.45880848,CN,20181130
CN-120272319-A,Method for promoting microalgae carbon sequestration and oil production by using plant hormone and saline wastewater,6,0.73791593,CN,20250708
CN-120399763-A,Biodiesel and preparation method thereof,5,0.6665331,CN,20250801
CN-120441104-A,"Livestock and poultry breeding wastewater treatment device based on dynamic bacterial algae biomembrane, method and application thereof",2,0.68873,CN,20250808
CN-203653550-U,Algae circulating culture device,2,0.52081996,CN,20140618
CN-107140744-A,A kind of microbial fermentation technology prepares the method that aquaculture water administers agent admittedly,2,0.49234617,CN,20170908
CN-104152356-A,Method for heterotrophic culture of microalgae by utilizing chicken manure degradation liquid,0,0.58039093,CN,20141119
CN-104446691-A,Micro algae-biochar composite bio-fertilizer and preparation method thereof,6,0.58426446,CN,20150325
CN-105441329-A,Method for culturing bait-microalgae for young Anthocidaris crassispina by using thermostat water bath cauldron in low-temperature seasons,6,0.51280296,CN,20160330
CN-106165760-A,A kind of preparation method of the marine active calcium containing probiotics,6,0.4032342,CN,20161130
CN-104130929-B,Multi-module circulating microalgae culture system with energy-saving effect,6,0.5351265,CN,20181225
CN-104789476-B,A kind of cell inoculation method,6,0.5606464,CN,20170728
CN-106916749-B,Nostoc sphaeroids kutz culture method and device,6,0.5151152,CN,20210309
CN-103143559-A,Method for remediation of heavy metal contaminated soil,2,0.42048007,CN,20130612
CN-105110580-A,Sewage treatment process and sewage treatment system for sewage treatment process,2,0.68698573,CN,20151202
CN-118902117-A,Seaweed dietary fiber extraction method,3,0.539551,CN,20241108
CN-105543324-A,High-flux screening method of oil contamination resistant microalgae,1,0.5635063,CN,20160504
CN-108294190-A,Food (use) changes（Good environment）The production method of dual-purpose probiotics,0,0.4878074,CN,20180720
CN-108588171-A,A method of screening high yield biodiesel microalgae using Nile red,5,0.6887133,CN,20180928
CN-108606315-A,"A kind of toxin expelling loss of weight, the hundred paddy vegetarian diet instant gruels and preparation method thereof to keep fit and healthy",4,0.2891552,CN,20181002
CN-218596357-U,System for utilize sunlight to breed little algae,6,0.5421908,CN,20230310
CN-113142101-A,Application of tea saponin in preparation of noctilucent insect killing preparation,2,0.2997898,CN,20210723
CN-107794225-B,Microalgae culture method,6,0.6573472,CN,20220913
CN-108126732-A,Catalyst and its application of aviation kerosine are prepared for microalgae biodiesel,5,0.518613,CN,20180608
CN-107619076-B,Formula of special water purifying agent for aquaculture,2,0.41692144,CN,20200814
CN-108102876-B,Continuous microalgae harvesting device and method,1,0.48206365,CN,20211012
CN-108271680-A,A kind of Gloiopeltis algae holdfast freezen protective seedling method,3,0.49640462,CN,20180713
CN-109337817-A,Utilize the method that microalgae is grown in modified natural nano-cellulose harvesting sewage,2,0.74275434,CN,20190215
CN-104203840-B,Systems and methods for harvesting and dewatering algae,3,0.53049785,CN,20170118
CN-104642668-A,Cholesterol lowering oat and basil seed containing health tea granules and preparation method thereof,6,0.2591509,CN,20150527
CN-108277163-A,A method of isolating and purifying Euglena algae,2,0.5067493,CN,20180713
CN-109294631-B,Method for preparing bio-oil by catalytic liquefaction of microalgae,5,0.5732787,CN,20200410
CN-111066702-A,Method for indoor high-density breeding of Sipunculus nudus,6,0.50407565,CN,20200428
CN-117285160-B,Cultivation wastewater recycling treatment system and method,2,0.5551678,CN,20240524
CN-105684880-B,Culture method capable of improving mycosporine-like amino acid content in umbilical laver,3,0.4167183,CN,20201002
CN-113880257-B,Preparation process of fresh water large-scale filamentous green algae module for eutrophic water body purification,3,0.5716454,CN,20220415
CN-114806654-A,Low-temperature combustion purifying agent,5,0.46722046,CN,20220729
CN-115745303-A,Method for promoting symbiosis of bacteria and algae and efficiently recycling bacteria and algae by using foam generated by fermentation of fish manure,3,0.5816759,CN,20230307
CN-206143189-U,Pipeline algae culture apparatus that declines,3,0.4820231,CN,20170503
CN-115250977-A,Efficient cultivation and collection system for algae-filtering daphnia for water purification,2,0.5332397,CN,20221101
CN-113336595-A,"Gene editing tobacco black nutrient solution formula, water culture device and water culture method",3,0.4113886,CN,20210903
CN-106148194-B,microalgae and use thereof,6,0.66086596,CN,20191008
CN-210642011-U,Circulating seawater culture system based on microalgae-strain bioreactor,2,0.5631535,CN,20200602
CN-216796183-U,Shellfish-algae symbiotic zero-emission mariculture device,3,0.43687427,CN,20220624
CN-217052199-U,Incubator for culturing concentrated algae,3,0.5134183,CN,20220726
CN-101658128-B,Algae wind-wave resisting rope sinking type cultivation facility and method,3,0.513093,CN,20110209
CN-120398272-A,Method for preventing and controlling filamentous algae pollution of water based on organisms,2,0.5525001,CN,20250801
CN-120615803-A,Movable shellfish algae control integrated management and control platform,2,0.44750828,CN,20250912
CN-120775684-A,Biological microalgae curtain and control method thereof,1,0.5330577,CN,20251014
CN-104962456-A,Harvesting device capable of concentrating microalgae cells in raceway pond by virtue of microbubble backflash,0,0.54980814,CN,20151007
CN-105377794-B,Production of fuels and biofertilizers from biomass,3,0.4710408,CN,20200908
CN-103999812-A,Fish-vegetable symbiotic integration system,2,0.46265972,CN,20140827
CN-104350990-B,Organic matrix seedling raising method for mechanically-planted paddy formula,6,0.38238156,CN,20170208
CN-104604431-A,Harvest ship,0,0.17513329,CN,20150513
CN-104782556-A,Method for preventing freshwater shrimp pond against moss,2,0.43345147,CN,20150722
CN-105123567-A,Indoor culture method for clownfish,2,0.34021544,CN,20151209
CN-107663529-A,A kind of phycomycete co-cultures the method for improving photosynthetic microalgae hydrogen output,2,0.6223777,CN,20180206
CN-107916226-A,The screening of one strain capable of high-efficiency processing pig farm livestock and poultry sewage and the microalgae of recycling,2,0.7152648,CN,20180417
CN-107699493-B,Microalgae cultivation method,6,0.7004407,CN,20200421
CN-110881404-A,Bare soil covering algae liquid spray,3,0.4614231,CN,20200317
CN-111039461-A,A denitrogenation removes algae repair system for aquaculture water,2,0.5481308,CN,20200421
CN-119631888-A,Soybean heavy ion beam radiation mutation breeding method and application thereof,6,0.2585935,CN,20250318
CN-109880856-A,A kind of method of open production microalgae grease,6,0.7005424,CN,20190614
CN-109988670-A,Decolorization of Algal Polyunsaturated Fatty Acids,3,0.47977728,CN,20190709
CN-110002680-A,"With the method for algae biofilm, flat micro-filtration dual membrane system processing sewage",2,0.6503469,CN,20190712
CN-110558222-A,"Application of plant hormone in promoting growth rate, calcification and photosynthesis of large calcified seaweed",3,0.48450178,CN,20191213
CN-102943048-B,"High-oil-content cyclotella menhiniana mutant strain, as well as screening and culturing method thereof",6,0.58300865,CN,20140101
CN-103160440-B,The one algae strain of strain grid algae and application thereof,3,0.6218933,CN,20160302
CN-110963828-B,Fertilizer and water agent for aquatic seedling culture and preparation method thereof,2,0.49596834,CN,20220701
CN-111235022-B,Microalgae carbon fixation and energy utilization system and method for supercritical water treatment,2,0.63225114,CN,20240409
CN-203336091-U,Connector of pipeline type photo-bioreactor,0,0.2323748,CN,20131211
CN-105712482-A,Method for treating and applying flue gas and domestic wastewater with jania rubens as medium,2,0.6850139,CN,20160629
CN-205501309-U,A disconnect -type photoreaction ware for declining algae is cultivateed,2,0.4496606,CN,20160824
CN-116491609-A,Method for preparing indoor cultivation compound feed for echinacea intermedius seedlings,6,0.39811003,CN,20230728
CN-118414417-A,"Photobioreactor for large organism or microorganism culture, liquid evaporation or liquid fermentation",2,0.52929634,CN,20240730
CN-210054173-U,Sargassum scale seedling raising facility of sargassaceae,2,0.4218428,CN,20200214
CN-213065698-U,LED microalgae culture lamp capable of adjusting light,3,0.3241716,CN,20210427
CN-209139415-U,The multi-functional tube brush slot of driven cleaning is cultivated in microalgae room,2,0.3122234,CN,20190723
CN-211690506-U,Aquaculture desilting mechanism,3,0.34487462,CN,20201016
CN-211211024-U,Fish and shrimp polyculture pond under photovoltaic equipment,2,0.40037477,CN,20200811
CN-114890551-A,Tandem type biological denitrification method based on bacterial-algae symbiosis,2,0.62560534,CN,20220812
CN-106770121-B,The method of scenedesmus obliquus fluorescence detection desmetryn bio-toxicity is utilized under ammonium salt environment,2,0.45978343,CN,20190618
CN-107723242-B,Method for culturing microalgae by comprehensively utilizing kitchen garbage fermentation liquor,6,0.72646546,CN,20210525
CN-108524299-A,A kind of sun screen,1,0.17274429,CN,20180914
CN-109220693-A,A kind of culture substrate of citrus and preparation method thereof,6,0.2927409,CN,20190118
CN-115486241-B,Edible algae seedling transplanting machine,3,0.4051535,CN,20250128
CN-207269643-U,Pearl shell industrial circulating water cultivating system,2,0.32242852,CN,20180427
CN-102366606-B,Atomized asthma relieving liquid and manufacturing method thereof,3,0.26908988,CN,20121017
CN-102937637-B,Water body experiment apparatus and method,2,0.4028808,CN,20150415
CN-103517978-B,For cultivating the bioreactor of photosynthetic microorganism in enclosed environment,6,0.5434587,CN,20151209
CN-103614448-B,Method for preparing bioethanol by taking sodium alginate or algae as active ingredients,3,0.62448394,CN,20150610
CN-104640975-A,Method for preparing a composition rich in lutein produced by microalgae,6,0.5831827,CN,20150520
CN-105254427-A,Matrix for tomato planting,4,0.24308172,CN,20160120
CN-112931177-A,Method for obtaining epiphytic bacteria-free ulva,3,0.3620429,CN,20210611
CN-216088162-U,Graphene thermostat for indoor algae cultivation,2,0.41776082,CN,20220322
CN-112239713-A,Little algae bioreactor that air-purifying used,2,0.61346555,CN,20210119
CN-107207282-A,symbiotic algae system with loop reactor,3,0.7633809,CN,20170926
CN-116249647-B,Suspension cleaning equipment for aquaculture,2,0.4310698,CN,20250404
CN-116621347-A,Method for rapidly forming algae biomembrane,2,0.5495163,CN,20230822
CN-118909782-A,Peculiar smell removing water purifying algae and purifying application thereof,2,0.50074863,CN,20241108
CN-107586194-A,A kind of method that compost anaerobism extraction fermentation fish scrap prepares complex microorganism liquid fertilizer,0,0.50016445,CN,20180116
CN-103060075-A,Method for preparing biological oil through catalytic liquefaction of microalgae,1,0.7214453,CN,20130424
CN-104211524-A,Composite biomass pellet bacterial fertilizer,0,0.48787475,CN,20141217
CN-104397165-A,Seafood-nectar yogurt for relieving high blood pressure and lowering blood lipid and preparation method thereof,6,0.31492603,CN,20150311
CN-105670905-A,Microalgae collection device and microalgae collection method,6,0.5616191,CN,20160615
CN-113813774-A,Carbon capture-algae/plant culture carbon fixation system,2,0.6021966,CN,20211221
CN-114557399-A,Solid-state fermentation process of alfalfa feed and microbial fermentation feed thereof,6,0.4715126,CN,20220531
CN-118652830-B,Fermentation medium capable of improving avermectin yield,6,0.46786278,CN,20250214
CN-104429881-B,Algae culturing instrument,3,0.38060677,CN,20160831
CN-105624295-B,Fluorescent quantitative PCR (polymerase chain reaction) detection method for microcystis polymorpha,6,0.40874654,CN,20200207
CN-102337204-B,Light/temperature dual-gradient microalgae incubator,6,0.36840326,CN,20130703
CN-103004659-A,Fish fry culturing method for four major Chinese carps,0,0.33488077,CN,20130403
CN-103960113-A,Full-automatic factory pond multi-layered classified cultivation,0,0.46354908,CN,20140806
CN-105132404-A,Method for fast accumulating grease through ultrasonic stimulation micro algae,3,0.63334775,CN,20151209
CN-221155722-U,Recovery device for microalgae wastewater treatment,2,0.60911745,CN,20240618
CN-120699743-A,Sunlight cooperated with artificial light source reinforced algae photo-bioreactor,3,0.45402068,CN,20250926
CN-201593046-U,Gas lift type algae circulation incubator,3,0.45163757,CN,20100929
CN-204697752-U,A kind of energy-saving system of growing cultured pearls,2,0.4698012,CN,20151014
CN-205398612-U,Improve photobioreactor of little algae growth rate,2,0.5885495,CN,20160727
CN-205695008-U,A kind of ecological adaptive type Multifunctional floating ecologic reef,3,0.4591715,CN,20161123
CN-102408994-A,"Grease-enriched nitzschia closterium, and optimal culture medium and large-scale culture method thereof",6,0.6684375,CN,20120411
CN-102834494-A,Methods of and systems for dewatering algae and recycling water therefrom,3,0.5019601,CN,20121219
CN-103493769-B,The application of neutral sterilization electrochemical water in hatching fish-egg,3,0.30397227,CN,20160203
CN-105125593-A,Algaepolyphenols extraction method,3,0.52507234,CN,20151209
CN-118215730-A,Novel schizochytrium strain easy to extract oil in cells and method for producing omega-3-containing oil by using same,6,0.6306207,CN,20240618
CN-119032872-A,Artificial breeding method of ascidians,3,0.49821025,CN,20241129
CN-115876926-B,Method for detecting BOC butyric acid in water and algae culture medium by utilizing HPLC-MS/MS,2,0.43957025,CN,20250923
CN-115918513-A,Method for continuously culturing seaweed agarwood by using low-concentration nutrient salt,3,0.5298475,CN,20230407
CN-117024622-A,Preparation process of low molecular weight fucoidin and prepared fucoidin,3,0.40631285,CN,20231110
CN-105601452-A,Microalgal water retention biological fertilizer,2,0.6299865,CN,20160525
CN-106727267-B,A kind of spirulina magnetic ion eye cream and preparation method thereof,6,0.25212163,CN,20180320
CN-107418898-B,Method for quickly separating microalgae through column chromatography,6,0.521049,CN,20210427
CN-204350813-U,A kind of ecological floating reef,3,0.5165072,CN,20150527
CN-120500956-A,Fertilizing method for improving quality of Fuji apples,3,0.30706966,CN,20250819
CN-102018113-A,Bighead carp feed and preparation method thereof,6,0.34312236,CN,20110420
CN-102604836-B,Production method and device for preventing chytrid pollution in haematococcus pluvialis,2,0.5197309,CN,20150121
CN-102839127-B,Method for microalgae coupling of culturing and recovery to quickly accumulate algal oil,6,0.736163,CN,20140521
CN-104546619-A,Skin nutrient solution rich in omega 3 fatty acid employing coralline algae as main material,3,0.35696125,CN,20150429
CN-206744145-U,A kind of laver culture analogue means,0,0.2659385,CN,20171215
CN-102296025-B,Photobioreactor capable of realizing internal and external circulation of alga liquid,3,0.46554452,CN,20130515
CN-103931718-A,Antihypertensive rice cracker and making method thereof,6,0.23134288,CN,20140723
CN-105189728-A,Producing algae biomass having reduced concentration of contaminants,2,0.65594935,CN,20151223
CN-105581938-A,Moisturizing essence,5,0.2710688,CN,20160518
CN-102206570-A,Apparatus and cultivating method for scaled cultivation of microalgae,6,0.6239848,CN,20111005
CN-103755824-B,The technique of fucoidin in a kind of Enzymatic Extraction marine alga,3,0.47227097,CN,20160120
CN-210796366-U,Device for preparing hydrogen-rich gas and recovering nitrogen and phosphorus elements from blue algae waste biomass,2,0.51220375,CN,20200619
CN-215975787-U,Runway type microalgae culture equipment,2,0.50695014,CN,20220308
CN-107262439-A,A kind of method for removing miscellaneous algae Enteromorpha on cultivation lace curtaining,3,0.4995779,CN,20171020
CN-106434356-A,Microalga culture method,6,0.6526365,CN,20170222
CN-108395328-A,"A kind of crab cultivation pool rich water educates algae granule, its production method and its application",0,0.47293866,CN,20180814
CN-109231616-A,The comprehensive solving device of industry cooling circulating water treatment and method,2,0.40657836,CN,20190118
CN-116286294-A,High-flux microalgae screening method,6,0.53162265,CN,20230623
CN-204779561-U,Sea area normal position green alga culture apparatus,3,0.43634948,CN,20151118
CN-116354433-B,Remote navigation supply station based on solar sea water desalination combined water planting system,2,0.588549,CN,20250425
CN-116948830-A,Red algae cultivation method,3,0.4782226,CN,20231027
CN-102144529-A,Method for cultivating novel edible seaweed rich in organic selenium,3,0.32772738,CN,20110810
CN-102281756-A,Use of plant growth regulators to enhance algae growth,3,0.62620705,CN,20111214
CN-102533558-A,Method for recycling spiral seaweed culture medium,3,0.48292035,CN,20120704
CN-103553215-B,Device for removing inorganic salts in aquaculture water by using attached algae,2,0.43891582,CN,20141126
CN-105606075-A,Local wind speed condition based discrimination method of vertical distribution pattern of Microcystis flos-aquae in the large shallow lake,3,0.3875844,CN,20160525
CN-105692884-A,Aerobic granule sludge cultivation method based on helotism,2,0.5992328,CN,20160622
CN-220520462-U,Pulse photo-bioreactor,2,0.42297965,CN,20240223
CN-106365318-A,Method for deep sewage treatment by serial microalgae culture,2,0.71150714,CN,20170201
CN-103404705-B,Fish feed additive preparation method,6,0.32084823,CN,20141210
CN-102297842-B,Method for rapidly testing lipid content of microalgae with sudan black B,6,0.45469517,CN,20141224
CN-102934651-A,Seaweed biscuit and processing method,3,0.31699944,CN,20130220
CN-104542237-B,Seedling-raising method for gracilaria algae,3,0.4041795,CN,20170222
CN-105384256-A,Method for removing organochlorine pesticide lindane in water based on natural alga film,2,0.5267341,CN,20160309
CN-102618592-A,Method for producing EPA (Eicosapentaenoic Acid) by using eustigmatoa cf. polyphem,3,0.51911664,CN,20120801
CN-103975880-A,"Method for mixed culture of hippocampus, abalone and gracilaria",2,0.31407776,CN,20140813
CN-104642518-A,Method for fresh-keeping blueberries by utilizing seaweed polysaccharide,3,0.36511588,CN,20150527
CN-104996327-A,Artificial fish reef in steel-frame structure,3,0.35702792,CN,20151028
CN-120092750-A,Pneumatic in-situ circulation ecological filtering system and application thereof,2,0.46231318,CN,20250606
CN-209923326-U,Photosynthetic reaction harvesting device,3,0.5716888,CN,20200110
CN-219088158-U,Oxygen supply adhesion integrated automatic sewage drainage sea horse cultivation device,2,0.3521863,CN,20230530
CN-103907751-A,"Cattle feed produced by using vinasse, grass meal and Chinese herbal medicines",6,0.39603594,CN,20140709
CN-104341247-A,Preparation method of base fertilizer special for Jingmian persimmon trees,0,0.25137255,CN,20150211
CN-104642524-A,Grape fresh-keeping method using seaweed polysaccharide,3,0.32480335,CN,20150527
CN-104944547-A,TiO2-based coagulant and use thereof,2,0.39892757,CN,20150930
CN-105036914-A,Special organic fertilizer for organic grape planting and preparation method of special organic fertilizer,4,0.30578846,CN,20151111
CN-106520557-A,Sterilization method of euglenophyta culture solution,3,0.4467249,CN,20170322
CN-107058462-A,A kind of method of quantitative microalgae to peridotite bioerodable,6,0.53661406,CN,20170818
CN-107893064-B,Preparation method and application of biochar-polyvinyl alcohol combined immobilized microalgae pellets,2,0.6848485,CN,20210716
CN-108522375-A,A kind of wheel animalcule cultural method reducing Measures of Algae in Water Body density,2,0.46984738,CN,20180914
CN-109247283-A,Aquaculture device,2,0.44158047,CN,20190122
CN-212833240-U,Water seepage well for filtering culture circulating water,2,0.4146642,CN,20210330
CN-216786085-U,Alga culture system for offshore platform based on carbon neutralization,2,0.5395031,CN,20220621
CN-112680331-A,Photobioreactor operating in large water body,2,0.53441274,CN,20210420
CN-120574730-A,Preparation method of quaternary composite gel culture medium for cyanobacteria three-dimensional culture,3,0.43005246,CN,20250902
CN-203923168-U,The board-like bioreactor of a kind of software,2,0.5929538,CN,20141105
CN-220056857-U,Temperature control culture device for algae in river crab culture pond,2,0.44093874,CN,20231121
CN-220951489-U,Algae cultivation water pollutant purifying device,2,0.44435608,CN,20240514
CN-117568178-A,High-carbon-fixation microalgae and method for treating sewage by using same,2,0.6908219,CN,20240220
CN-118901915-A,Branch angle type bait and preparation method and application thereof,3,0.39118853,CN,20241108
CN-118967777-A,Large seaweed cultivation area metering method based on remote sensing observation,2,0.33810842,CN,20241115
CN-201509507-U,"Microporous oxygenation, disinfection and sterilization device for high-density soilless stagnant water culture pond",2,0.44594723,CN,20100623
CN-118743432-A,Aquaculture fertilizer-water preparation and preparation method and application thereof,3,0.6338173,CN,20241008
CN-108239665-A,A kind of cultural method for improving the accumulation of Phaeodactylum tricornutum fucoxanthin,3,0.4988451,CN,20180703
CN-110396470-A,Microalgae fixes flue gas CO2The device and method of conversion of biomass,5,0.70481807,CN,20191101
CN-110467495-A,A kind of water-soluble composition and its preparation method and application adjusting algal grown,3,0.54726195,CN,20191119
CN-111172096-A,Production process for high-density culture of heteroglena,3,0.55570227,CN,20200519
CN-116606794-A,Method for preventing and treating zooplankton pollution in golden algae cultivation,3,0.5490179,CN,20230818
CN-116790516-B,Phage for lysing algicidal bacteria and application thereof,3,0.50316894,CN,20231124
CN-118304869-B,Preparation method and application of gel adsorption material with PNAGA-bamboo charcoal-chlorella active cells embedded in sodium alginate,3,0.44227636,CN,20250214
CN-101691546-A,Liquid seaweed bio-fungus and preparation process thereof,3,0.4898578,CN,20100407
CN-218789675-U,Marine alga breeding assembly,3,0.32642788,CN,20230407
CN-114889303-A,Method for obtaining fully-degradable antibacterial wood-plastic composite material by compounding wood-plastic composite material and antibacterial agent,4,0.29709274,CN,20220812
CN-101735966-A,Strong bacillus G25-1-2 and applications thereof,3,0.39252394,CN,20100616
CN-116445256-A,Microalgae culture device,6,0.56511056,CN,20230718
CN-116616233-A,Breeding method for improving culture rate of Charybdis feriatus,0,0.4026835,CN,20230822
CN-116918634-A,Edible fungus cultivation base material and preparation method thereof,6,0.35082716,CN,20231024
CN-117796359-B,Oxygenation and blue algae bloom prevention device for fish pond culture,2,0.29522842,CN,20240809
CN-208338655-U,A kind of aquiculture net cage convenient for cleaning,2,0.31358677,CN,20190108
CN-101724547-A,Method and device for performing microalgae culture experiment by using LED dimmable light,6,0.5306148,CN,20100609
CN-120349040-A,Salt-tolerant heterotrophic nitrification-aerobic denitrification bacteria and high-phosphorus high-nitrogen seawater treatment system,2,0.56728005,CN,20250722
CN-120615796-A,Water quality control method for medium-term cultivation of fries of longhairy antenoron,3,0.40007094,CN,20250912
CN-202465661-U,Microalgae breeding tubular membrane device,6,0.46846566,CN,20121003
CN-204369866-U,A kind of scientific research algae liquid culture case,3,0.4501738,CN,20150603
CN-109652110-A,The method for directly preparing biodiesel using wet microalgae is reacted based on hydrochloric acid catalysis hydrolysis -esterization,5,0.7823367,CN,20190419
CN-110681692-B,Method for repairing heavy metal contaminated soil,2,0.40491232,CN,20210827
CN-110697884-B,Method for culturing bacteria-algae symbiotic granular sludge at low temperature,2,0.521716,CN,20210713
CN-110819692-A,Separation and identification method of high-purity super microalgae,6,0.6169095,CN,20200221
CN-113207763-A,Method for improving fertilization rate and hatchability of spotted head fish,3,0.34375662,CN,20210806
CN-114105710-A,Preparation method and application of algae active cell composite biological fertilizer,6,0.4985268,CN,20220301
CN-115212704-A,Coal-fired power plant flue tail gas regulating system for cultivating microalgae,1,0.45627263,CN,20221021
CN-110812364-A,Application of galactooligosaccharide and derivatives thereof as SGLTs inhibitor,3,0.38986045,CN,20200221
CN-103396934-A,Algae production and harvesting apparatus,3,0.40091056,CN,20131120
CN-103663838-A,Integrated and comprehensive water treatment equipment for electrochemical water,2,0.47298342,CN,20140326
CN-103981099-B,Utilize phosphate fertilizer plant&#39;s waste water to cultivate culture medium and the cultural method of half-naked boat-shaped algae,3,0.52540797,CN,20160504
CN-104285851-B,"Utilize artificial ecology base in ecological pond culture Macrobrachium nipponensis, the method for Odontobutis obscura",2,0.47682664,CN,20160817
CN-222294028-U,Marine microalgae culture apparatus,6,0.54314244,CN,20250103
CN-110713901-B,Little algae cultivation light biological reaction cauldron and contain its continuous culture reaction system,2,0.54512936,CN,20201124
CN-112028712-A,Preparation process of ecological environment-friendly soil remediation agent,2,0.44754866,CN,20201204
CN-105779272-A,Overflow tilting novel microalgae culture system,6,0.40166187,CN,20160720
CN-102776250-A,Method for improving oil and fat contents in microalgal cells through adding special components to culture water,6,0.6835433,CN,20121114
CN-104285890-B,A kind of water acclimation method and utilize the method that water carries out restoration of the ecosystem to water body,2,0.53162456,CN,20160824
CN-105030587-A,Anti-aging cosmetic containing seaweed extract and preparation method thereof,3,0.31375748,CN,20151111
CN-118164622-B,"Water quality regulator for fish, shrimp and crab culture",2,0.49237737,CN,20240820
CN-118661752-A,Application of metal polyphenol nano-particles in inhibiting photosynthesis of algae,2,0.4251029,CN,20240920
CN-118749390-A,Vegetable cultivation medium and preparation method thereof,4,0.39564472,CN,20241011
CN-117327620-A,Pseudomonas with algicidal capability and algicidal application thereof,3,0.50380224,CN,20240102
CN-118903912-A,Continuous filtration equipment is used in microalgae cultivation,6,0.5010809,CN,20241108
CN-118931939-A,Application of IMP anabolic gene in Porphyra haitanensis breeding,5,0.39020398,CN,20241112
CN-208227979-U,A kind of circulating agricultural cultivation device,0,0.3318791,CN,20181214
CN-208523448-U,A kind of efficient algae culturing equipment,3,0.46548894,CN,20190222
CN-209584237-U,Horizontal tube microalgae photobiological reactor,2,0.6766459,CN,20191105
CN-117286202-A,Method for repeatedly inducing and collecting glyceroglycosides from microalgae,1,0.46846518,CN,20231226
